Iteration,Fitness,Time,State,Population Size,Mutation Rate,max_iters,run_number
0,3.0,0.0005587059999996313,"[0, 1, 1, 0, 1]",2500,0.2,8192,0
1,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
2,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
4,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
8,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
16,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
32,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
64,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
128,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
256,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
512,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
1024,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
2048,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
4096,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
8192,4.0,0.23788256599999968,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,0
0,2.0,0.00046881299999945725,"[1, 1, 0, 0, 1]",2500,0.2,8192,1
1,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
2,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
4,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
8,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
16,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
32,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
64,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
128,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
256,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
512,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
1024,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
2048,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
4096,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
8192,4.0,0.24210299199999952,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,1
0,2.0,0.0004728259999993156,"[0, 1, 1, 0, 0]",2500,0.2,8192,2
1,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
2,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
4,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
8,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
16,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
32,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
64,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
128,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
256,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
512,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
1024,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
2048,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
4096,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
8192,4.0,0.21719678899999906,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,2
0,2.0,0.0004776629999998505,"[0, 0, 1, 1, 0]",2500,0.2,8192,3
1,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
2,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
4,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
8,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
16,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
32,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
64,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
128,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
256,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
512,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
1024,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
2048,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
4096,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
8192,4.0,0.20516806499999873,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,3
0,1.0,0.0004652610000004387,"[0, 0, 1, 1, 1]",2500,0.2,8192,4
1,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
2,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
4,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
8,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
16,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
32,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
64,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
128,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
256,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
512,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
1024,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
2048,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
4096,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
8192,4.0,0.20329950500000038,"[1.0, 0.0, 1.0, 0.0, 1.0]",2500,0.2,8192,4
