mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score
0.1823582649230957,0.007249116897583008,0.0009279251098632812,0.0002238750457763672,1e-05,"(50, 50, 50)","{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50)}",0.9333333333333332,0.9666666666666667,0.95,0.01666666666666672,1
0.23018085956573486,0.013586878776550293,0.0009641647338867188,0.0001537799835205078,1e-05,"(100, 100, 100)","{'alpha': 1e-05, 'hidden_layer_sizes': (100, 100, 100)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.2889673709869385,0.031595468521118164,0.0013866424560546875,0.00033974647521972656,1e-05,"(150, 150, 150)","{'alpha': 1e-05, 'hidden_layer_sizes': (150, 150, 150)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.40151023864746094,0.08427906036376953,0.001233816146850586,0.00013685226440429688,1e-05,"(200, 200, 200)","{'alpha': 1e-05, 'hidden_layer_sizes': (200, 200, 200)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.46554887294769287,0.10087597370147705,0.0013320446014404297,0.00020313262939453125,1e-05,"(250, 250, 250)","{'alpha': 1e-05, 'hidden_layer_sizes': (250, 250, 250)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.15108346939086914,0.0018856525421142578,0.0007555484771728516,1.6450881958007812e-05,0.00201,"(50, 50, 50)","{'alpha': 0.00201, 'hidden_layer_sizes': (50, 50, 50)}",0.9333333333333332,0.9666666666666667,0.95,0.01666666666666672,1
0.2517220973968506,0.04367709159851074,0.0010749101638793945,0.0002340078353881836,0.00201,"(100, 100, 100)","{'alpha': 0.00201, 'hidden_layer_sizes': (100, 100, 100)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.3187345266342163,0.020354390144348145,0.0011065006256103516,0.00019860267639160156,0.00201,"(150, 150, 150)","{'alpha': 0.00201, 'hidden_layer_sizes': (150, 150, 150)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.34116899967193604,0.09870612621307373,0.0010013580322265625,1.049041748046875e-05,0.00201,"(200, 200, 200)","{'alpha': 0.00201, 'hidden_layer_sizes': (200, 200, 200)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.45796382427215576,0.15677082538604736,0.001152634620666504,6.318092346191406e-06,0.00201,"(250, 250, 250)","{'alpha': 0.00201, 'hidden_layer_sizes': (250, 250, 250)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.1728990077972412,0.005587100982666016,0.0007675886154174805,6.16312026977539e-05,0.00401,"(50, 50, 50)","{'alpha': 0.00401, 'hidden_layer_sizes': (50, 50, 50)}",0.9333333333333332,0.9666666666666667,0.95,0.01666666666666672,1
0.23315346240997314,0.016896605491638184,0.0010260343551635742,0.00016200542449951172,0.00401,"(100, 100, 100)","{'alpha': 0.00401, 'hidden_layer_sizes': (100, 100, 100)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.3766510486602783,0.1345961093902588,0.0010885000228881836,0.0001825094223022461,0.00401,"(150, 150, 150)","{'alpha': 0.00401, 'hidden_layer_sizes': (150, 150, 150)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.3557150363922119,0.09077215194702148,0.0010753870010375977,2.7298927307128906e-05,0.00401,"(200, 200, 200)","{'alpha': 0.00401, 'hidden_layer_sizes': (200, 200, 200)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.5027976036071777,0.18181657791137695,0.001587510108947754,0.00043022632598876953,0.00401,"(250, 250, 250)","{'alpha': 0.00401, 'hidden_layer_sizes': (250, 250, 250)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.17565953731536865,0.0006254911422729492,0.0007826089859008789,3.6597251892089844e-05,0.00601,"(50, 50, 50)","{'alpha': 0.00601, 'hidden_layer_sizes': (50, 50, 50)}",0.9333333333333332,0.9666666666666667,0.95,0.01666666666666672,1
0.2735164165496826,0.06220650672912598,0.0010483264923095703,0.00011205673217773438,0.00601,"(100, 100, 100)","{'alpha': 0.00601, 'hidden_layer_sizes': (100, 100, 100)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.2759159803390503,0.04378402233123779,0.0009839534759521484,7.987022399902344e-05,0.00601,"(150, 150, 150)","{'alpha': 0.00601, 'hidden_layer_sizes': (150, 150, 150)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.34820544719696045,0.08721745014190674,0.001083970069885254,5.2094459533691406e-05,0.00601,"(200, 200, 200)","{'alpha': 0.00601, 'hidden_layer_sizes': (200, 200, 200)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.43724846839904785,0.12837553024291992,0.0012049674987792969,5.817413330078125e-05,0.00601,"(250, 250, 250)","{'alpha': 0.00601, 'hidden_layer_sizes': (250, 250, 250)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.15476906299591064,0.007227063179016113,0.0007878541946411133,3.802776336669922e-05,0.00801,"(50, 50, 50)","{'alpha': 0.00801, 'hidden_layer_sizes': (50, 50, 50)}",0.9333333333333332,0.9666666666666667,0.95,0.01666666666666672,1
0.21628403663635254,0.0029201507568359375,0.0008220672607421875,1.1920928955078125e-05,0.00801,"(100, 100, 100)","{'alpha': 0.00801, 'hidden_layer_sizes': (100, 100, 100)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.26581454277038574,0.04217123985290527,0.0009710788726806641,6.198883056640625e-05,0.00801,"(150, 150, 150)","{'alpha': 0.00801, 'hidden_layer_sizes': (150, 150, 150)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.35962915420532227,0.08542203903198242,0.001017928123474121,4.887580871582031e-06,0.00801,"(200, 200, 200)","{'alpha': 0.00801, 'hidden_layer_sizes': (200, 200, 200)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
0.4620485305786133,0.13344049453735352,0.0011289119720458984,1.3828277587890625e-05,0.00801,"(250, 250, 250)","{'alpha': 0.00801, 'hidden_layer_sizes': (250, 250, 250)}",0.9333333333333332,0.9500000000000001,0.9416666666666667,0.008333333333333415,6
