mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_hidden_layer_sizes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
1.7701331615447997,0.4429761949101367,0.0019356250762939454,0.00023073127705800569,1e-05,"(50, 50, 50)","{'alpha': 1e-05, 'hidden_layer_sizes': (50, 50, 50)}",0.49891551819369795,0.4963532786663419,0.4942288436036914,0.5258739361882481,0.49490048486081445,0.5020475430257139,0.012010385462517438,15
3.3838400840759277,0.8676123703324581,0.00316472053527832,0.00010775701103509264,1e-05,"(100, 100, 100)","{'alpha': 1e-05, 'hidden_layer_sizes': (100, 100, 100)}",0.5043278233574479,0.49608264999594054,0.490128819247111,0.5225205981080256,0.4962024887261384,0.5018494616833042,0.011271974325613845,16
5.191691207885742,1.9110816357718052,0.004146003723144531,0.0002848194129291028,1e-05,"(150, 150, 150)","{'alpha': 1e-05, 'hidden_layer_sizes': (150, 150, 150)}",0.4945472793652077,0.5028010067386539,0.5409889673712033,0.5040382463635439,0.50389923032584,0.5092493044406865,0.016257172943179132,4
8.648778438568115,1.3897278003915767,0.005580759048461914,0.000677647789122201,1e-05,"(200, 200, 200)","{'alpha': 1e-05, 'hidden_layer_sizes': (200, 200, 200)}",0.4825809319807622,0.49477010094449403,0.5641006558234779,0.5026379140813074,0.48957040653714445,0.5067239041319231,0.029428168911070186,9
13.630364465713502,0.7761584553319523,0.006708002090454102,0.00034466707436949195,1e-05,"(250, 250, 250)","{'alpha': 1e-05, 'hidden_layer_sizes': (250, 250, 250)}",0.4947291489848981,0.47378961327163,0.4743444020459528,0.49162174075204285,0.48995693893466247,0.48489072796498783,0.008971185536481768,25
2.1728752136230467,0.616930370437626,0.0021494388580322265,0.0004392016994607432,0.0001,"(50, 50, 50)","{'alpha': 0.0001, 'hidden_layer_sizes': (50, 50, 50)}",0.49961942098101825,0.5018741035425293,0.500182674352521,0.5252229342555861,0.49555148679347644,0.5044836762068564,0.010565773176885765,10
3.66918044090271,0.9881713069387151,0.003572845458984375,0.00032481101406193764,0.0001,"(100, 100, 100)","{'alpha': 0.0001, 'hidden_layer_sizes': (100, 100, 100)}",0.5043884465640113,0.4998511542312793,0.4871789667397364,0.5277693011901129,0.48947885939036384,0.5017308093154802,0.01448617999055091,18
5.429996824264526,1.8293176688597887,0.004266166687011718,0.00034983669538678143,0.0001,"(150, 150, 150)","{'alpha': 0.0001, 'hidden_layer_sizes': (150, 150, 150)}",0.4961369545595387,0.5027468810045735,0.533668461836847,0.5003797511273862,0.510334655681009,0.5086478197347782,0.013333744876474573,5
8.580038738250732,0.40170518588000836,0.005008268356323242,4.961705443769838e-05,0.0001,"(200, 200, 200)","{'alpha': 0.0001, 'hidden_layer_sizes': (200, 200, 200)}",0.48276280160045265,0.5387495151236322,0.5300623348037491,0.5075984131827891,0.5047231546468653,0.5127652331036447,0.019841612101840076,2
12.363976240158081,0.5182305336006126,0.006337881088256836,0.0004921724339489079,0.0001,"(250, 250, 250)","{'alpha': 0.0001, 'hidden_layer_sizes': (250, 250, 250)}",0.4896805830605289,0.48023734134394197,0.5307186093294723,0.5634014850981589,0.4912013020038653,0.511025336735762,0.03138230871989021,3
1.6580028533935547,0.38394157942776164,0.0018023967742919922,3.953247498413152e-05,0.001,"(50, 50, 50)","{'alpha': 0.001, 'hidden_layer_sizes': (50, 50, 50)}",0.4996800441875817,0.49477010094449403,0.4887621444615842,0.5305462313091241,0.4969111314549215,0.5021255181139397,0.014644842378356742,14
3.625054454803467,1.0091805179448778,0.0030431747436523438,3.186685282961847e-05,0.001,"(100, 100, 100)","{'alpha': 0.001, 'hidden_layer_sizes': (100, 100, 100)}",0.5013303425884762,0.49761170198370813,0.4944453465400125,0.5192655884447157,0.48511172142542297,0.49955242623697804,0.011218448357049061,22
5.002396917343139,1.8317491142700375,0.0039479732513427734,4.12633618503037e-05,0.001,"(150, 150, 150)","{'alpha': 0.001, 'hidden_layer_sizes': (150, 150, 150)}",0.5025697503671073,0.5414219732438454,0.49504749533165543,0.49819618214491573,0.5024243040721528,0.5079332940302937,0.016978587262897485,6
8.736388015747071,0.5069736774599664,0.004946088790893555,0.00012693827885009153,0.001,"(200, 200, 200)","{'alpha': 0.001, 'hidden_layer_sizes': (200, 200, 200)}",0.4995587977744547,0.5373828403381055,0.5055952477605478,0.5007595022547723,0.49079781643101755,0.5068211044677265,0.016009190213736965,8
9.552776384353638,3.3996818460405,0.006528615951538086,0.0003501737685736871,0.001,"(250, 250, 250)","{'alpha': 0.001, 'hidden_layer_sizes': (250, 250, 250)}",0.4798259440380444,0.5373760746213454,0.5416993676310068,0.5164479707049131,0.5001661411182314,0.5150860450647001,0.023135400662916254,1
1.4834421157836915,0.33912410380464914,0.0019052982330322265,0.00021015932247857232,0.01,"(50, 50, 50)","{'alpha': 0.01, 'hidden_layer_sizes': (50, 50, 50)}",0.49527475784396935,0.4978823306541094,0.4911098481773159,0.5289560234631946,0.49555148679347644,0.501744722322171,0.013766986451218958,17
2.805415487289429,0.5323999320500719,0.0030266284942626954,2.8040538727050575e-05,0.01,"(100, 100, 100)","{'alpha': 0.01, 'hidden_layer_sizes': (100, 100, 100)}",0.4976895822387477,0.49389732348244975,0.4865226922140131,0.5243413691384397,0.5148001220628623,0.5034371153342714,0.013967796280581587,12
2.686856985092163,0.36040247694156674,0.004211807250976562,0.00024020179502112855,0.01,"(150, 150, 150)","{'alpha': 0.01, 'hidden_layer_sizes': (150, 150, 150)}",0.5060151692734646,0.4934575518930475,0.5111634326540554,0.5033872444308819,0.5014105041874343,0.5030889459338631,0.005821534252062531,13
6.172073650360107,1.6979708756534344,0.004964351654052734,2.749742570348948e-05,0.01,"(200, 200, 200)","{'alpha': 0.01, 'hidden_layer_sizes': (200, 200, 200)}",0.5023373614086138,0.4931869232226462,0.507070174014235,0.5323432678940766,0.5008340962262232,0.507145830828218,0.01335504514911281,7
8.394114208221435,2.8666661240735163,0.007145023345947266,0.0007033689232004217,0.01,"(250, 250, 250)","{'alpha': 0.01, 'hidden_layer_sizes': (250, 250, 250)}",0.4805298468253647,0.4859205434223702,0.5077264485399583,0.5237649611772285,0.5001661411182314,0.49960276444158724,0.015500435165165059,21
1.551656150817871,0.2742177182073617,0.0018815994262695312,7.271133457818746e-05,0.1,"(50, 50, 50)","{'alpha': 0.1, 'hidden_layer_sizes': (50, 50, 50)}",0.4885758935187056,0.49624502719818137,0.48504776596032584,0.5025056793137355,0.49495812565693553,0.4934604168870817,0.006105584612845369,24
2.3742995262145996,0.5430698471654025,0.0033495426177978516,0.00040789334490118286,0.1,"(100, 100, 100)","{'alpha': 0.1, 'hidden_layer_sizes': (100, 100, 100)}",0.49551725067022323,0.4557048523720603,0.5059200021650293,0.5260638117519411,0.49325263621876375,0.49528324298691184,0.022933760481890525,23
3.1378430366516112,0.6381658333920335,0.0039615631103515625,6.391930517487996e-05,0.1,"(150, 150, 150)","{'alpha': 0.1, 'hidden_layer_sizes': (150, 150, 150)}",0.4981509921998141,0.4781061405645313,0.5075031798868772,0.4982538229410369,0.5221340657105076,0.500822428911975,0.01433815842308147,20
5.48134217262268,1.2351189748107692,0.005562353134155274,0.0006623759948343338,0.1,"(200, 200, 200)","{'alpha': 0.1, 'hidden_layer_sizes': (200, 200, 200)}",0.5018523757561061,0.4968471759898243,0.490730968038754,0.5121215203607635,0.5190112908147696,0.5041044541981323,0.01022412359455605,11
6.723160362243652,0.5330109653350342,0.006110477447509766,5.989830157749391e-05,0.1,"(250, 250, 250)","{'alpha': 0.1, 'hidden_layer_sizes': (250, 250, 250)}",0.49766600654730625,0.4888162701956646,0.5052096019052258,0.5163733767334622,0.4986166208930933,0.501330489630839,0.009147957110121433,19
